TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,CNG,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
TATA,MOT-PRD-003,TATA LPT 1512,TATA LPT 1512 G  DCR 42CBC BSVI ,PRTL_14047,3300,3,DIESEL,2339734,2222747,1988774,1871787,1637814,1403840,1169867,1052880,935894,818907,701920,584934,409454,348036,226223,192290,134603
EICHER,MOT-PRD-005,EICHER 2070 E,EICHER 2070 E CWC AC BSVI ,PRTL_14076,3298,15,DIESEL,1530000,1453500,1300500,1224000,1071000,918000,765000,688500,612000,535500,459000,382500,267750,227588,147932,125742,88019
